label,module,overlapping
R_24dv_ROI,Cingulate and adj. cortex,Non-overlapping
R_SCEF_ROI,Cingulate and adj. cortex,Non-overlapping
R_p24pr_ROI,Cingulate and adj. cortex,Non-overlapping
R_33pr_ROI,Cingulate and adj. cortex,Non-overlapping
R_a24pr_ROI,Cingulate and adj. cortex,Non-overlapping
R_p32pr_ROI,Cingulate and adj. cortex,Non-overlapping
R_a24_ROI,Cingulate and adj. cortex,Non-overlapping
R_d32_ROI,Cingulate and adj. cortex,Non-overlapping
R_10pp_ROI,Cingulate and adj. cortex,Non-overlapping
R_31pd_ROI,Cingulate and adj. cortex,Non-overlapping
R_31a_ROI,Cingulate and adj. cortex,Non-overlapping
R_25_ROI,Cingulate and adj. cortex,Non-overlapping
R_a32pr_ROI,Cingulate and adj. cortex,Non-overlapping
R_p24_ROI,Cingulate and adj. cortex,Non-overlapping
R_A1_ROI,Insula and post. temporal,Non-overlapping
R_PSL_ROI,Insula and post. temporal,Non-overlapping
R_STV_ROI,Insula and post. temporal,Non-overlapping
R_7Am_ROI,Insula and post. temporal,Non-overlapping
R_VIP_ROI,Insula and post. temporal,Non-overlapping
R_45_ROI,Insula and post. temporal,Non-overlapping
R_47l_ROI,Insula and post. temporal,Non-overlapping
R_OP1_ROI,Insula and post. temporal,Non-overlapping
R_RI_ROI,Insula and post. temporal,Non-overlapping
R_PFcm_ROI,Insula and post. temporal,Non-overlapping
R_MI_ROI,Insula and post. temporal,Non-overlapping
R_AVI_ROI,Insula and post. temporal,Non-overlapping
R_PBelt_ROI,Insula and post. temporal,Non-overlapping
R_STSdp_ROI,Insula and post. temporal,Non-overlapping
R_STSvp_ROI,Insula and post. temporal,Non-overlapping
R_TPOJ1_ROI,Insula and post. temporal,Non-overlapping
R_Ig_ROI,Insula and post. temporal,Non-overlapping
R_FOP5_ROI,Insula and post. temporal,Non-overlapping
R_LBelt_ROI,Insula and post. temporal,Non-overlapping
R_TE1m_ROI,Insula and post. temporal,Non-overlapping
R_8C_ROI,Fronto-parietal,Non-overlapping
R_44_ROI,Fronto-parietal,Non-overlapping
R_IFJa_ROI,Fronto-parietal,Non-overlapping
R_IFJp_ROI,Fronto-parietal,Non-overlapping
R_IFSp_ROI,Fronto-parietal,Non-overlapping
R_IFSa_ROI,Fronto-parietal,Non-overlapping
R_p9-46v_ROI,Fronto-parietal,Non-overlapping
R_a9-46v_ROI,Fronto-parietal,Non-overlapping
R_TE1p_ROI,Fronto-parietal,Non-overlapping
R_TE2a_ROI,Fronto-parietal,Non-overlapping
R_TE2p_ROI,Fronto-parietal,Non-overlapping
R_PHT_ROI,Fronto-parietal,Non-overlapping
R_TPOJ2_ROI,Fronto-parietal,Non-overlapping
R_PGi_ROI,Fronto-parietal,Non-overlapping
R_p47r_ROI,Fronto-parietal,Non-overlapping
R_PFm_ROI,Fronto-parietal + somatomotor,Overlapping
R_8BM_ROI,Anterior frontal + cingulate and adj. cortex,Overlapping
R_9m_ROI,Anterior frontal + cingulate and adj. cortex,Overlapping
R_RSC_ROI,Cingulate and adj. cortex + visual,Overlapping
R_POS2_ROI,Cingulate and adj. cortex + visual,Overlapping
R_PeEc_ROI,Cingulate and adj. cortex + visual,Overlapping
R_PHA1_ROI,Cingulate and adj. cortex + visual,Overlapping
R_A5_ROI,Insula and post. temporal + visual,Overlapping
R_A4_ROI,Insula and post. temporal + visual,Overlapping
R_PoI2_ROI,Somatomotor + insula and post. temporal,Overlapping
R_PGs_ROI,Visual + fronto-parietal,Overlapping
R_13l_ROI,Unassigned,Unassigned
