Region_Index,Region_Name,Hemisphere,Region_Type
303,FOP1,R,Cortex
304,FOP3,R,Cortex
305,FOP2,R,Cortex
306,PFt,R,Cortex
307,AIP,R,Cortex
308,EC,R,Cortex
309,PreS,R,Cortex
310,H,R,Cortex
311,ProS,R,Cortex
312,PeEc,R,Cortex
313,STGa,R,Cortex
314,PBelt,R,Cortex
315,A5,R,Cortex
316,PHA1,R,Cortex
317,PHA3,R,Cortex
318,STSda,R,Cortex
319,STSdp,R,Cortex
320,STSvp,R,Cortex
321,TGd,R,Cortex
322,TE1a,R,Cortex
323,TE1p,R,Cortex
324,TE2a,R,Cortex
325,TF,R,Cortex
326,TE2p,R,Cortex
327,PHT,R,Cortex
328,PH,R,Cortex
329,TPOJ1,R,Cortex
330,TPOJ2,R,Cortex
331,TPOJ3,R,Cortex
332,DVT,R,Cortex
333,PGp,R,Cortex
334,IP2,R,Cortex
335,IP1,R,Cortex
336,IP0,R,Cortex
337,PFop,R,Cortex
338,PF,R,Cortex
339,PFm,R,Cortex
340,PGi,R,Cortex
341,PGs,R,Cortex
342,V6A,R,Cortex
343,VMV1,R,Cortex
344,VMV3,R,Cortex
345,PHA2,R,Cortex
346,V4t,R,Cortex
347,FST,R,Cortex
348,V3CD,R,Cortex
349,LO3,R,Cortex
350,VMV2,R,Cortex
351,31pd,R,Cortex
352,31a,R,Cortex
353,VVC,R,Cortex
354,25,R,Cortex
355,s32,R,Cortex
356,pOFC,R,Cortex
357,PoI1,R,Cortex
358,Ig,R,Cortex
359,FOP5,R,Cortex
360,p10p,R,Cortex
361,p47r,R,Cortex
362,TGv,R,Cortex
363,MBelt,R,Cortex
364,LBelt,R,Cortex
365,A4,R,Cortex
366,STSva,R,Cortex
367,TE1m,R,Cortex
368,PI,R,Cortex
369,a32pr,R,Cortex
370,p24,R,Cortex
371,striatum_1,R,Subcortex
372,striatum_2,R,Subcortex
373,striatum_3,R,Subcortex
374,thalamus_1,R,Subcortex
375,thalamus_2,R,Subcortex
376,thalamus_3,R,Subcortex
377,thalamus_4,R,Subcortex
378,thalamus_5,R,Subcortex
379,thalamus_6,R,Subcortex
380,thalamus_7,R,Subcortex
