node,Glasser_RH_ROI,module,overlapping
55,R_6mp_ROI,1,non-overlapping
56,R_6v_ROI,1,non-overlapping
57,R_p24pr_ROI,5,non-overlapping
58,R_33pr_ROI,5,non-overlapping
59,R_a24pr_ROI,5,non-overlapping
60,R_p32pr_ROI,0,non-overlapping
61,R_a24_ROI,5,non-overlapping
62,R_d32_ROI,5,non-overlapping
63,R_8BM_ROI,0_6,overlapping
64,R_p32_ROI,6,non-overlapping
65,R_10r_ROI,6,non-overlapping
66,R_47m_ROI,6,non-overlapping
67,R_8Av_ROI,1_6,overlapping
68,R_8Ad_ROI,6,non-overlapping
69,R_9m_ROI,5_6,overlapping
70,R_8BL_ROI,6,non-overlapping
71,R_9p_ROI,6,non-overlapping
72,R_10d_ROI,6,non-overlapping
73,R_8C_ROI,4,non-overlapping
74,R_44_ROI,1,non-overlapping
75,R_45_ROI,3,non-overlapping
76,R_47l_ROI,3,non-overlapping
77,R_a47r_ROI,6,non-overlapping
78,R_6r_ROI,1,non-overlapping
79,R_IFJa_ROI,4,non-overlapping
80,R_IFJp_ROI,1,non-overlapping
81,R_IFSp_ROI,4,non-overlapping
82,R_IFSa_ROI,4,non-overlapping
83,R_p9-46v_ROI,4,non-overlapping
84,R_46_ROI,6,non-overlapping
85,R_a9-46v_ROI,6,non-overlapping
86,R_9-46d_ROI,6,non-overlapping
87,R_9a_ROI,6,non-overlapping
88,R_10v_ROI,6,non-overlapping
89,R_a10p_ROI,6,non-overlapping
90,R_10pp_ROI,5,non-overlapping
91,R_11l_ROI,2,non-overlapping
93,R_OFC_ROI,2,non-overlapping
94,R_47s_ROI,2,non-overlapping
95,R_LIPd_ROI,1,non-overlapping
96,R_6a_ROI,1,non-overlapping
97,R_i6-8_ROI,1,non-overlapping
98,R_s6-8_ROI,6,non-overlapping
99,R_43_ROI,1,non-overlapping
100,R_OP4_ROI,3,non-overlapping
101,R_OP1_ROI,3,non-overlapping
102,R_OP2-3_ROI,3,non-overlapping
103,R_52_ROI,2,non-overlapping
104,R_RI_ROI,3,non-overlapping
105,R_PFcm_ROI,3,non-overlapping
106,R_PoI2_ROI,1,non-overlapping
107,R_TA2_ROI,2,non-overlapping
108,R_FOP4_ROI,3,non-overlapping
109,R_MI_ROI,3,non-overlapping
110,R_Pir_ROI,2,non-overlapping
111,R_AVI_ROI,3,non-overlapping
112,R_AAIC_ROI,2,non-overlapping
113,R_FOP1_ROI,3,non-overlapping
114,R_FOP3_ROI,3,non-overlapping
115,R_FOP2_ROI,3,non-overlapping
116,R_PFt_ROI,1,non-overlapping
117,R_AIP_ROI,1,non-overlapping
118,R_EC_ROI,2,non-overlapping
119,R_PreS_ROI,2_5,overlapping
120,R_H_ROI,2,non-overlapping
121,R_ProS_ROI,2_5,overlapping
122,R_PeEc_ROI,2_5,overlapping
123,R_STGa_ROI,2,non-overlapping
124,R_PBelt_ROI,2,non-overlapping
125,R_A5_ROI,2,non-overlapping
126,R_PHA1_ROI,2_5,overlapping
127,R_PHA3_ROI,2,non-overlapping
128,R_STSda_ROI,2,non-overlapping
129,R_STSdp_ROI,4,non-overlapping
130,R_STSvp_ROI,4,non-overlapping
131,R_TGd_ROI,2,non-overlapping
132,R_TE1a_ROI,2_4,overlapping
133,R_TE1p_ROI,4,non-overlapping
134,R_TE2a_ROI,4,non-overlapping
135,R_TF_ROI,2,non-overlapping
136,R_TE2p_ROI,4,non-overlapping
137,R_PHT_ROI,4,non-overlapping
138,R_PH_ROI,2_4,overlapping
139,R_TPOJ1_ROI,4,non-overlapping
140,R_TPOJ2_ROI,4,non-overlapping
141,R_TPOJ3_ROI,4,non-overlapping
142,R_DVT_ROI,2,non-overlapping
143,R_PGp_ROI,2_4,overlapping
144,R_IP2_ROI,1,non-overlapping
145,R_IP1_ROI,1,non-overlapping
146,R_IP0_ROI,2,non-overlapping
147,R_PFop_ROI,1,non-overlapping
148,R_PF_ROI,3,non-overlapping
149,R_PFm_ROI,1_4,overlapping
150,R_PGi_ROI,4,non-overlapping
151,R_PGs_ROI,1_4,overlapping
152,R_V6A_ROI,2,non-overlapping
153,R_VMV1_ROI,2,non-overlapping
154,R_VMV3_ROI,2,non-overlapping
155,R_PHA2_ROI,2,non-overlapping
156,R_V4t_ROI,2,non-overlapping
157,R_FST_ROI,4,non-overlapping
158,R_V3CD_ROI,2,non-overlapping
159,R_LO3_ROI,2,non-overlapping
160,R_VMV2_ROI,2,non-overlapping
161,R_31pd_ROI,5,non-overlapping
162,R_31a_ROI,5,non-overlapping
163,R_VVC_ROI,2,non-overlapping
164,R_25_ROI,5,non-overlapping
165,R_s32_ROI,6,non-overlapping
166,R_pOFC_ROI,2,non-overlapping
167,R_PoI1_ROI,2,non-overlapping
168,R_Ig_ROI,3,non-overlapping
169,R_FOP5_ROI,3,non-overlapping
170,R_p10p_ROI,6,non-overlapping
171,R_p47r_ROI,4,non-overlapping
172,R_TGv_ROI,2,non-overlapping
173,R_MBelt_ROI,2,non-overlapping
174,R_LBelt_ROI,3,non-overlapping
175,R_A4_ROI,2,non-overlapping
176,R_STSva_ROI,2_4,overlapping
177,R_TE1m_ROI,4,non-overlapping
178,R_PI_ROI,2,non-overlapping
179,R_a32pr_ROI,5,non-overlapping
180,R_p24_ROI,5,non-overlapping
